id,project_id,role_id,required_count
1,1,1,2
2,1,3,1
3,1,4,1
4,1,5,1
5,2,1,1
6,2,2,2
7,3,1,2
8,3,2,2
9,3,4,1
10,3,5,1
11,4,1,2
12,4,3,1
13,4,4,1
14,5,1,2
15,5,2,2
16,5,4,1
17,6,1,1
18,6,2,1
19,6,3,1
20,6,4,1
21,7,1,2
22,7,3,1
23,7,4,1
24,7,5,1
25,8,1,1
26,8,2,1
27,8,4,1
28,8,5,1
29,9,1,2
30,9,2,2
31,9,3,1
32,9,5,1
33,10,1,2
34,10,2,2
35,10,3,1
36,10,5,1
37,11,1,1
38,11,2,2
39,12,1,2
40,12,3,1
41,12,5,1
42,13,1,2
43,13,2,2
44,13,3,1
45,14,1,1
46,14,3,1
47,14,4,1
48,14,5,1
49,15,1,1
50,15,2,2
51,15,3,1
52,16,1,1
53,16,2,2
54,16,3,1
55,17,1,1
56,17,3,1
57,17,5,1
58,18,1,2
59,18,2,1
60,18,3,1
61,18,4,1
62,18,5,1
63,19,1,2
64,19,2,2
65,19,3,1
66,19,4,1
67,19,5,1
68,20,1,1
69,20,3,1
70,20,5,1
71,21,1,1
72,21,2,1
73,21,4,1
74,21,5,1
75,22,1,1
76,22,3,1
77,22,4,1
78,23,1,1
79,23,4,1
80,24,1,1
81,24,2,2
82,24,3,1
83,25,1,2
84,25,2,1
85,25,3,1
86,26,1,1
87,26,2,2
88,26,3,1
89,26,4,1
90,26,5,1
91,27,1,2
92,27,2,1
93,27,4,1
94,27,5,1
95,28,1,2
96,28,3,1
97,28,5,1
98,29,1,1
99,29,4,1
100,30,1,1
101,30,2,1
102,30,3,1
103,30,4,1
104,31,1,1
105,31,2,1
106,31,3,1
107,32,1,1
108,32,2,1
109,33,1,1
110,33,2,2
111,33,4,1
112,33,5,1
113,34,1,1
114,34,2,2
115,34,5,1
116,35,1,1
117,35,2,1
118,35,4,1
119,35,5,1
120,36,1,2
121,36,2,2
122,36,3,1
123,36,5,1
124,37,1,2
125,37,2,2
126,38,1,2
127,38,2,2
128,38,3,1
129,38,4,1
130,39,1,1
131,39,2,2
132,39,3,1
133,39,4,1
134,40,1,1
135,40,2,1
136,40,3,1
137,41,1,2
138,41,2,1
139,41,4,1
140,41,5,1
141,42,1,1
142,42,2,2
143,42,3,1
144,43,1,2
145,43,3,1
146,43,4,1
147,43,5,1
148,44,1,1
149,44,3,1
150,44,5,1
151,45,1,1
152,45,3,1
153,45,4,1
154,46,1,1
155,46,3,1
156,46,5,1
157,47,1,2
158,47,2,1
159,47,4,1
160,47,5,1
161,48,1,1
162,48,2,1
163,48,3,1
164,48,5,1
165,49,1,2
166,49,2,2
167,50,1,2
168,50,2,2
169,50,4,1
170,51,1,2
171,51,2,2
172,51,4,1
173,52,1,1
174,52,2,1
175,52,4,1
176,52,5,1
177,53,1,2
178,53,4,1
179,53,5,1
180,54,1,1
181,54,2,1
182,54,3,1
183,54,4,1
184,54,5,1
185,55,1,2
186,55,2,1
187,55,3,1
188,55,4,1
189,56,1,1
190,56,2,2
191,56,4,1
192,56,5,1
193,57,1,2
194,57,3,1
195,58,1,2
196,58,3,1
197,58,5,1
198,59,1,1
199,59,3,1
200,59,4,1
201,59,5,1
202,60,1,1
203,60,2,1
204,60,3,1
205,60,4,1
206,61,1,2
207,61,2,2
208,62,1,2
209,62,2,2
210,62,4,1
211,63,1,2
212,63,2,2
213,63,5,1
214,64,1,2
215,64,2,2
216,64,3,1
217,64,4,1
218,64,5,1
219,65,1,1
220,65,3,1
221,65,4,1
222,66,1,2
223,66,2,1
224,66,3,1
225,66,4,1
226,66,5,1
227,67,1,2
228,67,2,1
229,67,5,1
230,68,1,2
231,68,4,1
232,68,5,1
233,69,1,2
234,69,2,2
235,69,3,1
236,69,4,1
237,70,1,2
238,70,3,1
239,70,4,1
240,70,5,1
241,71,1,1
242,71,2,2
243,71,4,1
244,71,5,1
245,72,1,1
246,72,3,1
247,72,4,1
248,72,5,1
249,73,1,1
250,73,3,1
251,74,1,1
252,74,2,2
253,74,4,1
254,74,5,1
255,75,1,1
256,75,2,1
257,75,4,1
258,76,1,2
259,76,2,1
260,76,3,1
261,76,5,1
262,77,1,1
263,77,2,1
264,77,3,1
265,77,4,1
266,78,1,2
267,78,3,1
268,78,4,1
269,79,1,2
270,79,2,2
271,79,3,1
272,79,4,1
273,80,1,2
274,80,4,1
275,80,5,1
